Open Dataset ID,Dataset Name / Title,Agency,Posting Frequency,Description,Status,Plan submission date,NYS URL,Catalog Category
64,Access-A-Ride Call Center Performance,AAR,Monthly,Measures the percent of calls that are answered and the average speed with which those calls are answered.,Published - enhancements planned,Q4 2022,https://data.ny.gov/d/6r5t-chrj,1. Operational metrics and data
63,Access-A-Ride Customer Experience: 2018 to 2020,AAR,Monthly,"Measures Access-A-Ride trip results against multiple standards, including Pick-Up On-Time Performance, Drop-Off On-Time Performance, Max Ride Time, and Provider No-Shows.",Published - enhancements planned,Q4 2022,https://data.ny.gov/d/qu52-5ejz,1. Operational metrics and data
120,Access-A-Ride Drop-off On-Time Performance,AAR,Monthly,"Measures the quality of provider service, comparing actual to customer-requested drop-off time for trips scheduled with an appointment time.",Published,Complete,https://data.ny.gov/d/nxai-wcbd,1. Operational metrics and data
121,Access-A-Ride Max Ride Time Performance,AAR,Monthly,Presents the percentage of trips performed within Access-A-Ride’s established max ride time standards.,Published - enhancements planned,Q4 2022,https://data.ny.gov/d/3te2-xtd4,1. Operational metrics and data
58,Access-A-Ride Pickup On-Time Performance,AAR,Monthly,"Measures the quality of provider service for pick-ups, comparing actual to promised pick-up time. It is measured on both 15-minute and 30-minute windows.",Published,Complete,https://data.ny.gov/d/rube-svnv,1. Operational metrics and data
60,Access-A-Ride Provider No-Shows,AAR,Monthly,Measures the frequency with which primary providers do not arrive at the pick-up location within 30 minutes of the promised time and the trip is not provided.,Published,Complete,https://data.ny.gov/d/47iu-idvc,1. Operational metrics and data
61,Access-A-Ride Ride Time,AAR,Monthly,"Measures the quality of provider service with two metrics: (1) Ride Time Variance Performance, comparing actual trip durations to planned, and (2) Average Actual Trip Duration, calculating the average duration of all trips in a given grouping.",Published,Complete,https://data.ny.gov/d/wtm4-vjm7,1. Operational metrics and data
45,Bus Customer Journey-Focused Metrics,Bus,Monthly,"Measures the quality of the customer experience based on several bus journey-focused metrics, including the estimated average extra time that customers spend waiting at a bus stop or onboard a bus, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time. ",Published,Complete,https://data.ny.gov/d/8mkn-d32t,1. Operational metrics and data
156,Bus lane enforcement violation data,Bus,Monthly,Provides statistics of violations issued by MTA's bus-mounted Automated Bus Lane Enforcement (ABLE) camera systems.,Planned,Q1 2023,,1. Operational metrics and data
38,Bus Mean Distance Between Failures,Bus,Monthly,Measures how frequently mechanical problems such as engine failures or electrical malfunctions cause delays in bus service.,Published,Complete,https://data.ny.gov/d/7mt2-y7ip,1. Operational metrics and data
111,Bus Passenger Environment Survey: 2015 to 2019 ,Bus,Static,Combines the results of surveys of several different aspects of bus vehicle and operating conditions to measure passenger comfort and convenience.,Published,Complete,https://data.ny.gov/d/m7ag-xvyh,1. Operational metrics and data
43,Bus Service Delivered,Bus,Monthly,Service Delivered measures the percentage of scheduled bus service that is actually provided during peak hours.,Published,Complete,https://data.ny.gov/d/tw28-zvtk,1. Operational metrics and data
50,Bus Speeds,Bus,Monthly,"Measures how quickly buses travel along their routes, calculated as a bus’s average end-to-end speed along a route using Bus Time data.",Published,Complete,https://data.ny.gov/d/cudb-vcni,1. Operational metrics and data
66,Bus Wait Assessment,Bus,Monthly,This dataset reflects a legacy metric that measures how evenly buses are spaced.,Published,Complete,https://data.ny.gov/d/bmix-dpzc,1. Operational metrics and data
53,LIRR and Metro-North Canceled / Terminated Trains,"LIRR,MNR",Monthly,"Presents the total number and percentage of LIRR trains that have been canceled, either fully (Canceled) or partially (Terminated). Currently, the Metro-North data only includes fully Canceled trains, excluding partial (Terminated) cancelations.",Published,Complete,https://data.ny.gov/d/hpua-e653,1. Operational metrics and data
41,LIRR and Metro-North Mean Distance Between Failures,"LIRR,MNR",Monthly,Represents the average number of miles a rail car travels before a mechanical failure causes the train to arrive at its final destination more than 5 minutes and 59 seconds later than scheduled. This measures the reliability of LIRR and Metro-North equipment in revenue service.  ,Published,Complete,https://data.ny.gov/d/cpjs-d6ua,1. Operational metrics and data
57,LIRR and Metro-North On-Time Performance,"LIRR,MNR",Monthly,"Determines how frequently a commuter train arrives at its final destination within 5 minutes and 59 seconds of its scheduled time, broken down by branch/line, time period, and systemwide metrics.",Published,Complete,https://data.ny.gov/d/6kq9-5ikh,1. Operational metrics and data
36,LIRR and Metro-North Service Reliability,"LIRR,MNR",Monthly,Service Reliability evaluates LIRR and Metro-North's performance delivering timely and effective service to its customers based on a variety of metrics.,Published,Complete,https://data.ny.gov/d/x64c-i76x,1. Operational metrics and data
115,LIRR Systemwide Delays,LIRR,Monthly,"Reflects the number of train delays per month, broken down into identifiable categories.",Published,Complete,https://data.ny.gov/d/7wmq-pqff,1. Operational metrics and data
140,Mean Distance Between Service Interruptions ,Bus,Monthly,This dataset reflects a monthly legacy service performance metric that indicates how frequently service interruptions cause delays in bus service.,Planned,Q3 2022,,1. Operational metrics and data
59,Percent of Trips Completed,Bus,Monthly,This dataset reflects a monthly legacy service performance metric that indicates the percentage of bus trips completed that month.,Planned,Q3 2022,,1. Operational metrics and data
112,Subway Car Passenger Environment Survey: 2015 to 2019 ,Subway,Static,Combines the results of surveys of several different aspects of subway car conditions to measure passenger comfort and convenience.,Published,Complete,https://data.ny.gov/d/vyyn-j8cu,1. Operational metrics and data
44,Subway Customer Journey-Focused Metrics,Subway,Monthly,"Measures the quality of the customer experience based on several subway journey-focused metrics, including the estimated average extra time that customers spend waiting on the platform or onboard a train, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time. ",Published - enhancements planned,Q4 2022,https://data.ny.gov/d/r7qk-6tcy,1. Operational metrics and data
155,Subway delay-causing incidents,Subway,Monthly,"Provides summary statistics about incidents that cause delay to trains, supporting the Weekday and Weekend Trains Delayed performance metrics.",Planned,Q4 2022,,1. Operational metrics and data
154,Subway end-to-end running times,Subway,Monthly,"Provides a record of actual end-to-end running times, reported in minutes, by subway line, for peak and off-peak time periods.",Planned,Q4 2022,,1. Operational metrics and data
35,Subway Major Incidents,Subway,Monthly,"Provides a measure of subway incidents that delay 50 or more trains, separated into six identifiable categories. These are the events that cause the most disruption to customers.",Published - enhancements planned,Q4 2022,https://data.ny.gov/d/ereg-mcvp,1. Operational metrics and data
39,Subway Mean Distance Between Failures,Subway,Monthly,"Measures how frequently car-related problems such as door failures, loss of motor power, or brake issues cause a delay of over five minutes.  ",Published - enhancements planned,Q3 2022,https://data.ny.gov/d/e2qc-xgxs,1. Operational metrics and data
42,Subway Service Delivered,Subway,Monthly,Service Delivered measures New York City Transit's ability to deliver the amount scheduled subway service and capacity during peak hours.,Published,Complete,https://data.ny.gov/d/32ch-sei3,1. Operational metrics and data
113,Subway Station Passenger Environment Survey: 2015 to 2019 ,Subway,Static,Combines the results of surveys of several different aspects of subway station conditions to measure passenger comfort and convenience.,Published,Complete,https://data.ny.gov/d/qve8-dj3u,1. Operational metrics and data
55,Subway Terminal On-Time Performance,Subway,Monthly,This dataset reflects a legacy metric that measures the percentage of trains arriving at their destination within five minutes of their scheduled arrival times.,Published - enhancements planned,Q2 2022,https://data.ny.gov/d/f6rf-2a3t,1. Operational metrics and data
65,Subway Wait Assessment,Subway,Monthly,This dataset reflects a legacy metric that measures how regularly subway trains are spaced during peak hours at selected timepoints on each line.,Published - enhancements planned,Q2 2022,https://data.ny.gov/d/s666-h6b7,1. Operational metrics and data
149,Subway Weekend and Weekday Trains Delayed,Subway,Monthly,Reflects the number and percentage of subway trains delayed per weekend and weekday based on scheduled service.,Planned,Q3 2022,,1. Operational metrics and data
143,System Fleet Age ,Bus,Monthly,"Provides the monthly legacy service indicators ""System Buses older than 12 years"" and ""System Fleet Age"" that characterize the age of MTA's bus fleet.",Planned,Q3 2022,,1. Operational metrics and data
