name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10025,2020-08-12,31.4,22.8,27,36.5,22.8,28.4,23.2,80.2,41.85,100,16.67,rain,0,0,57.2,15.4,201.8,1015.9,10.5,12.7,197.4,16.9,8,,2020-08-12T06:03:32,2020-08-12T19:57:25,0.79,Rain,Clear conditions throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-13,26.2,22.5,24.6,26.2,22.5,24.6,21.2,81.8,5.65,100,12.5,rain,0,0,,11.5,39.9,1018.3,12.3,13.8,76.9,6.6,3,,2020-08-13T06:04:31,2020-08-13T19:56:04,0.84,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-14,29.5,22.9,25.9,30.1,22.9,26.1,18.7,66.4,0,0,0,,0,0,31.7,14.9,54.7,1016.1,28.4,15.4,234.8,20.3,8,,2020-08-14T06:05:30,2020-08-14T19:54:42,0.89,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-15,28.5,22.3,24.6,28.5,22.3,24.6,15.7,58.3,0,0,0,,0,0,33.5,17.7,58.3,1015.9,16.8,16,220.6,19,9,,2020-08-15T06:06:30,2020-08-15T19:53:18,0.93,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-16,22.9,19.5,20.6,22.9,19.5,20.6,17.4,81.9,5.31,100,50,rain,0,0,37.1,20.5,46.4,1014.7,96.2,13,42.7,3.7,1,,2020-08-16T06:07:29,2020-08-16T19:51:54,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-17,27.3,18.1,21.8,27.9,18.1,21.9,16.8,73.8,7.04,100,16.67,rain,0,0,38.9,26.5,196.9,1012.5,44.2,15.3,238.8,20.7,9,,2020-08-17T06:08:28,2020-08-17T19:50:28,0.99,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-18,27.4,18,22.9,27.3,18,22.8,15.6,66.9,4.83,100,12.5,rain,0,0,42.1,18.4,296.6,1010.8,33.2,15.2,265,22.9,9,,2020-08-18T06:09:27,2020-08-18T19:49:02,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-19,23.9,19.2,21.6,23.9,19.2,21.6,16.5,73.4,3.55,100,25,rain,0,0,,9.9,41.8,1013.4,50.6,15.3,108.6,9.3,4,,2020-08-19T06:10:27,2020-08-19T19:47:34,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D9152,72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-20,26.3,17.4,22.1,26.3,17.4,22.1,12,55,0,0,0,,0,0,,11.4,350.8,1017,4,16,288.8,25,9,,2020-08-20T06:11:26,2020-08-20T19:46:06,0.01,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-21,28.6,20.2,24.4,29.5,20.2,24.7,17.1,64.9,0,0,0,,0,0,32.9,22.9,228.8,1014.2,12.3,16,255.5,22,8,,2020-08-21T06:12:25,2020-08-21T19:44:37,0.04,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-22,30.4,23.5,26.5,32.4,23.5,27.2,19.7,67.1,0,0,0,,0,0,37.1,14.7,241.9,1013.5,10.2,16,235.9,20.3,9,,2020-08-22T06:13:24,2020-08-22T19:43:07,0.08,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-23,29.4,23.6,26.2,30.9,23.6,26.9,20.5,71.5,0,0,0,,0,0,33.5,10.9,207.3,1016.7,7.8,16,217.7,18.8,9,,2020-08-23T06:14:23,2020-08-23T19:41:36,0.13,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-24,32,24,27.7,33.8,24,28.7,20.2,64.8,0,0,0,,0,0,31.7,19.7,250.9,1015.1,10.7,16,244.5,21.4,8,,2020-08-24T06:15:22,2020-08-24T19:40:04,0.18,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2020-08-25,31.5,22.7,26.8,32.8,22.7,27.2,18.7,62.8,9,100,4.17,rain,0,0,58,24.7,279.9,1009.6,18.2,15.8,231.7,20,8,,2020-08-25T06:16:21,2020-08-25T19:38:32,0.24,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
